" Year ","","","   Dispute over","",""," Termination","","","","","","","","","","","","","","","","","","  Overtime payment","","","","  Dispute over",""," Year ","  Dispute over","","","  Retirement pension","","","","     Dispute over","","   Year-end bonus","","","","  Dispute over","","","","  Insurance benefit","","","","   Dispute over","","","  occupational","","","  Dispute over",""," Year ","  Dispute over","",""," employment","","",""," Dispute over","","","  Dispute over","","  dispute","","  Involvement rate","","","","","","","",
" ","  Cases of dispute","","  labor contracts","",""," of contracts","",""," Payment of dismisal","","",""," Dispute over wages","","",""," Content of wages","","","  Arrear wages","","","","     and man-hour","","","","    work hour",""," ","    retirement","","","           payment","","","","   welfare benefits","","         payment","","","","  labor insurance","","","","","  payment","","","   management","","",""," hazards","","  safety and health",""," ","  union","","  discrimination","","","",""," mass dismiss","","","  other issues","","  (Worker)","","  （"," o /oo ）","  Conciliation","","  Mediation","","  Arbitration","",
"  93年  2004 ","10838","   (5,827)","4851","   (2,709)","1238","","     (806)","","3769","","   (2,009)","","5289","   (2,543)","","877","","     (593)","","4186","","    (1,828)","","557","","     (237)","","169","     (138) ˉ","  93年  2004 ","461","      (307)","","384","","     (241)","","236","     (185)","100","","      (65)  ˉ","","357","","     (248)","","107","","      (79)  ˉ","","159","     (121)","","922","","     (564)  ˉ","1","       (1)  ˉ","  93年  2004 ","5","       (5)","8","","       (8)","","2","","       (2)  ˉ","","1241","     (737)","32478","  (25,932)","4.55","    (3.64)","9199","   (4,191)","1724","   (1,724)","1","       (1)  ˉ",
"  94年  2005 ","14256","   (8,173)","6732","   (4,086)","1309","","   (1,028)","","5275","","   (2,991)","","6456","   (3,391)","","815","","     (489)","","5468","","    (2,776)","","579","","     (313)","","204","     (167) ˉ","  94年  2005 ","762","      (485)","","630","","     (383)","","258","     (205)","102","","      (70)  ˉ","","414","","     (303)","","117","","      (90)  ˉ","","184","     (130)","","1144","","     (736)  ˉ","7","       (6)  ˉ","  94年  2005 ","10","      (10)","29","","      (28)","","5","","       (5)  ˉ","","1207","     (588)","85544","  (77,642)","11.66","   (10.58)","11756","   (5,759)","2135","   (2,130)","0","0",
"  95年  2006 ","15464","  (10,105)","6669","   (4,429)","1356","","   (1,046)","","5216","","   (3,237)","","7584","   (4,703)","","872","","     (556)","","6437","","    (3,886)","","723","","     (440)","","235","     (203) ˉ","  95年  2006 ","610","      (394)","","504","","     (329)","","221","     (177)","98","","      (76)  ˉ","","535","","     (417)","","110","","      (83)  ˉ","","228","     (169)","","1221","","     (861)  ˉ","0","0","  95年  2006 ","8","       (8)","64","","      (61)","","3","","       (2)  ˉ","","1736","   (1,044)","81639","  (74,811)","10.83","    (9.92)","12796","   (7,521)","2388","   (2,376)","0","0",
"  96年  2007 ","19729","  (10,188)","8668","   (4,763)","1626","","   (1,041)","","6972","","   (3,534)","","10034","   (4,781)","","1448","","     (893)","","8303","","    (3,667)","","1036","","     (531)","","380","     (295) ˉ","  96年  2007 ","766","      (493)","","582","","     (375)","","348","     (238)","179","","     (135)  ˉ","","817","","     (522)","","172","","     (104)  ˉ","","216","     (153)","","1393","","     (861)  ˉ","3","       (3)  ˉ","  96年  2007 ","11","      (10)","80","","      (66)","","2","","       (2)  ˉ","","3422","   (1,489)","121563"," (109,242)","15.72","   (14.12)","16367","   (7,221)","2846","   (2,813)","0","0",
" ","","","","  主　　要　　爭　　議　　類　　別","","","","","","","","","","","","","","",""," Major type of labor dispute","","","","","","","","",""," ","","","","  主　　要　　爭　　議　　類　　別","","","","","","","","","","","","","","","","",""," Major type of labor dispute","","","","","","",""," ","","  主　要　爭　議　類　別　　　Major type of labor dispute","","","","","","","","","","","  爭 議 人 數","","","","  處  理  方  式 (件)　(2)ˉ","","","  Method  （Case） ˉ","","",
" ","  爭  議  件  數","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 年　 　別 ","","","","","","","","","","","","",,,,,,,,,,,,,,,,,," 年　  　別 ","","","","","","","","","","","","","",,,,,,,,,,,,,,,,," 年　 　別 ","","","","","","","","","","","","",,,,,,,,,,,
" ","","","","  權　　利　　事　　項","","","","","","","","","","","","","","","","  Rights dispute","","","","","","","","",""," ","","","","",""," 權　　利　　事　　項","","","","","","","","","","","","","","","","   Rights dispute","","","","","","",""," ","",""," 調　　整　　事　　項　　　Adjustment dispute","","","","","","","","","","  (人)ˉ","","  涉  及  率","","  協　　調","","  調　　解","","  仲　　裁","",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",""," (1)  ˉ","","","","","","",
" ","","","  契  約  爭  議","","","","","","","","","",""," 工  資  爭  議","","","","","","","","","","","","","","",""," ","  給付資遣費爭議","","","","","  給付退休金爭議","","","  勞工保險給付爭議","","","","","  職業災害補償爭議","","","","","  工會身分保護爭議","","","",""," 休  假  爭  議","","",""," 其他權利事項爭議",""," ","  調整工資爭議","","  結算年資爭議","","","","  調整工時爭議","","",""," 其他調整事項爭議","",,,,,,,,,,,
