" ",""," 表 3-11 勞資爭議案件─按行業分","","","","","","","","","","","","","",""," Table 3-11 Labor-Management Disputes by Industry","","","","","","","","","","",""," ","  表 3-11 勞資爭議案件─按行業分(續)","","","","","","","","","","","","","   Table 3-11 Labor-Management Disputes by Industry (Cont.)","","","","","","","","","","","","",
"  98年  2009 ","","30385","","  (15,104)  ˉ","","","82","       (50)","","","23","       (14)","7881","","   (3,550)","","64","      (37)","","1764","      (932)","","6847","","   (3,183)","","1940","      (900)","  98年  2009 ","1468","     (789)","694","     (416)","601","     (285)","","1485","      (766)","","965","","     (493)","","751","     (394)","","491","      (274)","","5214","","   (2,934)","","115","        (87)",
,,,,,,,,,,,,,"","","","   用水供應及","","","","","","","","","","","",""," ","  出版、影音製作、","","","","","","","  專業、科學","","","","","","   公共行政及國防；","","","","","   醫療保健及","","",""," 藝術、娛樂及","","","",
" 年         別 ","","  總　計","","","  農、林、漁、牧業","","","  礦業及土石採取業","","","   製　造　業","","  電力及燃氣供應業","","","   污染整治業","","","  營建工程業","","   批發及零售業","","",""," 運輸及倉儲業","","    住宿及餐飲業",""," 年         別 ","  傳播及資通訊服務業","","   金融及保險業","","  不 動 產 業","","","  及技術服務業","","","  支援服務業","","","   強制性社會安全","","","  教　育　業","","   社會工作服務業","","","","  休閒服務業","","    其他服務業","",
" ","","","","","  Agriculture, forestry,","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"   Electricity &","","","   Water supply &"," remediation","","  Construction","","   Wholesale &","","","  Transportation &","","","    Accommodation &"," food service"," Year ","  Information &","","   Financial &","","  Real estate","","","  Professional, scientific","","","  Support service","","","   Public administration","","","","","   Human health &","","","  Arts, entertainment","","","    Other service","",
" Year ","","  Grand total","","","  fishing & animal","","","   Mining & quarrying","","","   Manufacturing","",,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","   & defence; Compulsory","","",""," Education",""," social work","","","","","","",
" ","","","","","  husbandry","","","","","","","",""," gas supply","","","  activities","","","",""," retail trade","","",""," storage","","  activities"," ","  communication","","   insurance activities","","  activities","","","  & technical activities","","",""," activities","","   social security","","","","","","  activities","","","  & recreation","","","  activities",
"  99年  2010 ","23865","","  (11,565)","","88","      (49)","","40","      (28)","","4780","    (2,182)","38","       (20)","","113","       (58)","","1433","      (811)  ˉ","5698","    (2,480)","","1183","","     (647)","1790","      (755)","  99年  2010 ","480","     (207)","477","     (285)","450","     (181)","","1018","      (484)","1315","","     (584)","","132","       (98)","","813","      (384)  ˉ","828","      (393)","","309","","     (154)","2880","     (1,765)",
" 100年  2011 ","22629","","  (11,767)","","75","      (46)","","21","      (14)","","4466","    (2,149)","36","       (23)","","133","       (66)","","1585","      (913)  ˉ","5337","    (2,567)","","1096","","     (646)","1842","      (857)"," 100年  2011 ","563","     (309)","453","     (289)","413","     (186)","","834","      (431)","2025","","   (1,057)","","120","       (94)","","692","      (359)  ˉ","748","      (399)","","242","","     (117)","1948","     (1,245)",
" 101年  2012 ","23225","","  (11,247)","","82","      (53)","","24","      (15)","","4596","    (2,268)","39","       (22)","","110","       (58)","","1589","      (863)  ˉ","5716","    (2,522)","","1179","","     (618)","2050","      (950)"," 101年  2012 ","540","     (276)","426","     (274)","437","     (183)","","886","      (433)","2087","","     (916)","","112","       (86)","","624","      (296)  ˉ","835","      (417)","","261","","     (154)","1632","       (843)",
