" 表 4-2 積欠工資墊償基金各業應提繳單位數及人數 ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","",""," 表 4-2 積欠工資墊償基金各業應提繳單位數及人數(續1) ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","",""," 表 4-2 積欠工資墊償基金各業應提繳單位數及人數(續2完) ","","","","","","","","","","  Table 4-2 Number of Entities and Persons with Required Contribution","","","","","","","","","","",
,,,,,,,,,"","","","","  to the Arrear Wage Payment Fund by Industry","","","","","","","",,,,,,,,,,"","","  to the Arrear Wage Payment Fund by Industry (Cont.1)ˉ","","","","","","","","","",,,,,,,,,,"","","  to the Arrear Wage Payment Fund by Industry (Cont.2)","","","","","","","","","",
" ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person",""," ","","","","","","","","  單位：家、人","","","","","","","","","","","  Unit：Establishment、Person","",
"  92年底  End of 2003 ","","377116","","5124698","","1452","","11873","","504","","4539","","98966","","2135125","","243","","27122","  92年底  End of 2003 ","31919","","229517","145528","1141451","","6563","113051","","10223","","221705","","5005","","312784","","6744","","60236","  92年底  End of 2003 ","24323","","254476","9160","76679","","15311","201638","","4406","","90219","","14346","","182214","","2423","","62069",
"  93年底  End of 2004 ","","390896","","5342548","","1419","","11217","","471","","4511","","98998","","2195183","","241","","26561","  93年底  End of 2004 ","32568","","236714","151756","1206083","","7384","126132","","10417","","230004","","5455","","321456","","7663","","67497","  93年底  End of 2004 ","25956","","272512","9695","79494","","16560","214592","","4477","","89935","","15430","","199684","","2406","","60973",
"  94年底  End of 2005 ","","415701","","5499525","","1354","","10471","","459","","4199","","98899","","2168691","","242","","26632","  94年底  End of 2005 ","34814","","245993","163201","1259429","","8738","147427","","10752","","243514","","5593","","331013","","8915","","74822","  94年底  End of 2005 ","28206","","290911","10980","85065","","19317","242498","","4786","","89092","","17077","","219013","","2368","","60755",
"  95年底  End of 2006 ","","425116","","5586395","","1264","","10253","","443","","4079","","98537","","2202168","","243","","27098","  95年底  End of 2006 ","36591","","255928","166658","1271784","","9497","159450","","10903","","242577","","5540","","324847","","9866","","79510","  95年底  End of 2006 ","28900","","292053","11668","85379","","20149","255618","","4778","","87140","","17728","","229118","","2351","","59393",
"  96年底  End of 2007 ","","427907","","5652232","","1253","","10066","","437","","3943","","97479","","2229600","","247","","23992","  96年底  End of 2007 ","36953","","253997","166991","1279633","","9915","165385","","10909","","238174","","5699","","329189","","10363","","83110","  96年底  End of 2007 ","29564","","301621","11951","84084","","20850","267677","","4725","","83299","","18238","","238282","","2333","","60180",
"  97年底  End of 2008 ","","428396","","5616571","","1221","","10389","","431","","3836","","95316","","2129531","","244","","24073","  97年底  End of 2008 ","36685","","251837","166639","1272371","","10386","172283","","10852","","233271","","5762","","321914","","10392","","80614","  97年底  End of 2008 ","30114","","306073","12738","101706","","21667","290546","","4733","","80840","","18603","","236910","","2613","","100377",
"  98年底  End of 2009 ","","436453","","5678478","","1333","","10789","","408","","3822","","93516","","2090613","","245","","24476","  98年底  End of 2009 ","36407","","250466","168437","1280198","","11296","180567","","10879","","232775","","5843","","310921","","10426","","82843","  98年底  End of 2009 ","31194","","324259","13018","112292","","22561","311396","","4801","","80602","","23478","","282738","","2611","","99721",
" ","","  總　　　計","","  農、林、漁、牧業","","","  礦業及土石採取業","","","  製　造　業","","","  電力及燃氣供應業","","  用水供應及污染整治業","","","","  營建工程業",""," ",""," 批發及零售業","","  運輸及倉儲業","","","  住宿及餐飲業","",""," 出版、影音製作、","","","  金融及保險業","","","  不　動　產　業","","","  專業、科學及技術服務業",""," ","","","  支援服務業","","  公共行政及國防；強制性社會安全","","","","","  教　育　業","","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","","","  其 他 服 務 業","",
" 年    底    別 ","","","","","","","","",,,,,,,,,,,,," 年    底    別 ","","","","","","","","","  傳播及資通訊服務業","","","","","","","","","","",""," 年    底    別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","","  Agriculture,forestry, fishing &","","","","","","","","","","","","  Water supply &","","","",""," ","","","","","","","  Accommodation &","","","","","","  Financial &","","","","","","  Professional, scientific",""," ","","","","","","  Public administration & defence;","","","","","","","  Human health &","","","  Arts, entertainment","","","","",
" ","","  Grand total","","  animal husbandry","","","  Mining & quarrying","","","  Manufacturing","","","  Electricity & gas supply","",""," remediation activities","","","  Construction",""," ","  Wholesale & retail trade","","","  Transportation & storage","","","  food service activities","","  Information & communication","","","","  insurance activities","",""," Real estate activities","","","  & technical activities",""," ","","  Support service activities","","","","  Compulsory social security","","","","  Education","","","  social work activities","","","  & recreation","","","  Other service activities","",
" End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數"," End of year ","  單 位 數","","  人  數","  單 位 數","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數"," End of year ",""," 單 位 數",""," 人  數","","  單 位 數",""," 人  數","  單 位 數","","  人  數","","  單 位 數","  人  數","  單 位 數","","  人  數","","  單 位 數","  人  數",
" ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons"," ","  Units","","  Persons","  Units","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons"," ","","  Units",""," Persons","","  Units",""," Persons","  Units","","  Persons","","  Units","  Persons","  Units","","  Persons","","  Units","  Persons",
"  99年底  End of 2010 ","449385","","6025653","1248","10962","","403","3893","94032","","2251557","","233","19785","3051","","38664","","37398","261544","  99年底  End of 2010 ","172201","","1341083","8771","184448","","12438","196904","8700","","174372","","6605","316681","10114","","80952","","26494","258921","  99年底  End of 2010 ","","11183","","230395","","2534","","97488","13190","","113545","","23453","324635","1961","","29207","","15376","90617",
" 100年底  End of 2011 ","461860","","6291702","1296","11558","","395","4093","94923","","2337277","","240","20191","3185","","37277","","38514","273934"," 100年底  End of 2011 ","175681","","1410210","8917","192633","","14052","223079","8979","","184050","","6685","320713","10981","","86203","","27721","271122"," 100年底  End of 2011 ","","11675","","238201","","2576","","92504","13261","","118334","","24517","342752","2063","","31494","","16199","96077",
" 101年底  End of 2012 ","466875","","6403959","1500","12165","","376","3874","94056","","2353388","","247","20567","3248","","39473","","38788","272695"," 101年底  End of 2012 ","176178","","1432569","8975","199463","","15814","244165","9196","","191277","","6706","322323","11613","","89074","","28476","277360"," 101年底  End of 2012 ","","11987","","248082","","2554","","90724","13972","","125413","","24398","349428","2155","","31755","","16636","100164",
" 102年底  End of 2013 ","474917","","6547791","2192","14504","","357","3332","93884","","2399067","","262","20755","3325","","37768","","39629","276962"," 102年底  End of 2013 ","177267","","1454311","9145","205400","","17121","263696","9414","","196266","","6725","322892","12647","","95123","","29366","283498"," 102年底  End of 2013 ","","12383","","258568","","2515","","89967","15797","","143436","","23507","345122","2287","","32937","","17094","104187",
" 103年底  End of 2014 ","485466","","6752182","2534","15451","","369","3341","94165","","2466248","","273","20913","3351","","38177","","40662","283954"," 103年底  End of 2014 ","179088","","1492099","9209","212573","","18954","286120","9644","","203310","","6886","326479","13505","","98439","","30352","289608"," 103年底  End of 2014 ","","12690","","265826","","2478","","88359","16129","","158353","","24082","357184","2467","","34734","","18628","111014",
" 104年底  End of 2015 ","495735","","6935746","2550","16324","","362","3308","94250","","2482350","","296","20508","3357","","35398","","41727","289373"," 104年底  End of 2015 ","180535","","1523692","9324","222365","","21075","310013","10024","","220794","","7074","330547","13627","","98229","","31296","296787"," 104年底  End of 2015 ","","13269","","269237","","2490","","88392","16205","","176822","","25340","374120","2971","","38992","","19963","138495",
" 105年底  End of 2016 ","503818","","7086853","2686","16977","","352","3314","93929","","2504699","","321","21460","3390","","34630","","42591","292218"," 105年底  End of 2016 ","181750","","1555550","9408","229118","","23677","334117","10563","","227709","","7173","336713","13341","","96736","","31958","305943"," 105年底  End of 2016 ","","13851","","285847","","2482","","87823","16444","","175455","","26189","393113","3159","","42123","","20554","143308",
" 資料來源： 勞動部勞工保險局。 ","","","","","","","","","  Source：","  Bureau of Labor Insurance, MOL.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說　　明： 90年以前依據「中華民國行業標準分類（第6次修訂）」編製，91-98年依據第7次修訂編製，99-101年依據ˉ ","","","","","","","","","  Note：","  Data series were classified before 2001 refer to Standard Industrial Classification System of R.O.C, Rev.6. Data series from","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 第8次修訂編製，102-104年依據第9次修訂編製，105年起依據第10次修訂編製。 ","","","","","","","","","","  2002 to 2009 refer to Rev.7. Data series from 2010 to 2012 refer to Rev.8. Data series from 2013 to 2015 refer to Rev.9.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"","  Data series from 2016 refer to Rev.10.","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","","    -76-","","","","","","","","","","","    -77-","","","","","",""," ","","","    -78-","","","","","","","","","","","    -79-","","","","","",""," ","","","    -80-","","","","","","","","","","","    -81-","","","","","","",
