" 表 6-1 勞工保險投保單位數及人數－按行業分 ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續1) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.1)","","","","","","","","","",""," 表 6-1 勞工保險投保單位數及人數－按行業分(續2完) ","","","","","","","","","","  Table 6-1 Insured Units and Persons under Labor Insurance by Industry (Cont.2)","","","","","","","","","","",
"  94年底  End of 2005 ","","451899","","8540755","","1562","","362903","","495","","5141","","104269","","2795322","","248","","28093","  94年底  End of 2005 ","38871","","695733","176951","1437245","","9205","304613","","11434","","514012","","5809","","353038","","9401","","101566","  94年底  End of 2005 ","30333","","366999","11644","139170","","19483","282729","","5371","","154348","","24035","","872112","","2788","","127731",
"  95年底  End of 2006 ","","462233","","8681145","","1465","","364891","","463","","4951","","104009","","2832438","","249","","28602","  95年底  End of 2006 ","40707","","707363","180802","1454666","","9977","320431","","11636","","510395","","5752","","350533","","10350","","107631","  95年底  End of 2006 ","31111","","370682","12307","150216","","20276","295754","","5374","","153836","","24966","","898989","","2789","","129767",
"  96年底  End of 2007 ","","467035","","8799405","","1475","","366020","","460","","4799","","103208","","2864413","","253","","28547","  96年底  End of 2007 ","41305","","708254","181919","1466515","","10415","331200","","11724","","503350","","5896","","358920","","10962","","113475","  96年底  End of 2007 ","31931","","383680","12628","158164","","21026","309502","","5347","","151417","","25701","","926611","","2785","","124538",
"  97年底  End of 2008 ","","468631","","8795248","","1446","","363635","","457","","4641","","101362","","2771609","","250","","28918","  97年底  End of 2008 ","41322","","699744","182142","1467431","","10908","347339","","11681","","494580","","5983","","358212","","11048","","113367","  97年底  End of 2008 ","32567","","393076","13009","173153","","21909","327871","","5342","","150609","","26406","","958548","","2799","","142515",
"  98年底  End of 2009 ","","476196","","9029279","","1574","","374572","","441","","4599","","99954","","2758917","","251","","29298","  98年底  End of 2009 ","41585","","708793","185029","1490436","","11861","372282","","11784","","500792","","6070","","351390","","11209","","117864","  98年底  End of 2009 ","33838","","416616","13407","221656","","22948","352554","","5519","","154934","","27931","","1037172","","2795","","137404",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""," 出版、影音製作、","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,
" ","","  總　　　計","","  農、林、漁、牧業","","","  礦業及土石採取業","","","  製　造　業","","","  電力及燃氣供應業","","  用水供應及污染整治業","","","","  營建工程業",""," ",""," 批發及零售業","","  運輸及倉儲業","","","  住宿及餐飲業","","","","","","  金融及保險業","","","  不　動　產　業","","","  專業、科學及技術服務業",""," ","","","  支援服務業","","  公共行政及國防；強制性社會安全","","","","","  教　育　業","","","  醫療保健及社會工作服務業","","  藝術、娛樂及休閒服務業","","","","  其 他 服 務 業","",
" 年　底　別 ","","","","","","","","",,,,,,,,,,,,," 年　底　別 ","","","","","","","","","  傳播及資通訊服務業","","","","","","","","","","",""," 年　底　別 ","","","","","","","","",,,,,,,,,,,,,
" ","","","","  Agriculture,forestry, fishing &","","","","","","","","","","","","  Water supply &","","","",""," ","","","","","","","  Accommodation &","","","","","","  Financial &","","","","","","  Professional, scientific",""," ","","","","","","  Public administration & defence;","","","","","","","  Human health &","","","  Arts, entertainment","","","","",
" ","","  Grand total","","  animal husbandry","","","  Mining & quarrying","","","  Manufacturing","","","  Electricity & gas supply","",""," remediation activities","","","  Construction",""," ","  Wholesale & retail trade","","","  Transportation & storage","","","  food service activities","","  Information & communication","","","","  insurance activities","",""," Real estate activities","","","  & technical activities",""," ","","  Support service activities","","","","  Compulsory social security","","","","  Education","","","  social work activities","","","  & recreation","","","  Other service activities","",
