" 件　數 ","","  金　額"," 件　數","  金　額"," 件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額"," 件　數 ","","  金　額"," 件　數","  金　額"," 件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額","  件　數","  金　額"," 件　數 ","","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額"," 件　數","  金　額",
" "," Cases","  Amount"," Cases","  Amount"," Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," "," Cases","  Amount"," Cases","  Amount"," Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," "," Cases","  Amount"," Cases","  Amount"," Cases","  Amount","  Cases","  Amount","  Cases","  Amount","  Cases","  Amount"," Cases","  Amount",
" 　　  6月 　　 June ","241","21768","213","17261","13","666","91","7240","0","14","23","3639","0","0","0","1808"," 　　  6月 　　 June ","52","495","34","3400","28","4507","0","26","14","608","0","0","3","328","0","0"," 　　  6月 　　 June ","7","700","2","1360","2","1485",,,,,,,,,
" 　　  7月 　　 July ","219","20278","196","17717","9","621","81","7061","0","14","18","3580","0","0","0","1812"," 　　  7月 　　 July ","48","629","40","4000","22","2457","0","26","6","560","0","0","2","351","1","10"," 　　  7月 　　 July ","10","1000","3","510","0","0","0","0","0","0","1","104","0","0",
" 　　  8月 　　 Aug. ","290","25357","243","18231","16","648","90","7141","1","35","35","3650","0","0","0","1811"," 　　  8月 　　 Aug. ","59","746","42","4200","33","5790","1","26","9","585","0","0","6","374","1","35"," 　　  8月 　　 Aug. ","11","1100","4","3061","1","607","0","0","0","0","14","1337","0","0",
" 　　  9月 　　 Sept. ","256","24147","224","16942","12","685","96","7152","1","28","30","3592","0","0","0","1827"," 　　  9月 　　 Sept. ","52","448","33","3210","28","5973","0","26","8","563","0","0","1","339","1","23"," 　　  9月 　　 Sept. ","13","1300","3","2281","2","1441","0","0","0","0","4","1232","0","0",
" 　　 10月 　　 Oct. ","237","19499","215","17602","17","745","83","7095","0","14","26","3545","0","0","0","1803"," 　　 10月 　　 Oct. ","52","610","37","3790","21","1890","0","26","9","623","0","0","3","398","1","43"," 　　 10月 　　 Oct. ","8","800","0","0","0","0","0","0","0","0","0","0","1","7",
" 　　 11月 　　 Nov. ","245","22321","211","16774","12","697","93","7200","1","42","34","3615","0","0","0","1712"," 　　 11月 　　 Nov. ","41","506","30","3000","34","5547","1","76","12","561","0","0","4","410","0","0"," 　　 11月 　　 Nov. ","14","1400","2","2201","1","900","0","0","0","0","0","0","0","0",
" 　　 12月 　　 Dec. ","328","31744","249","16574","15","700","117","7198","0","7","30","3440","0","0","0","1761"," 　　 12月 　　 Dec. ","58","569","29","2900","20","2312","0","35","4","568","3","35","3","374","0","0"," 　　 12月 　　 Dec. ","9","900","0","0","1","400","0","0","55","12155","4","702","0","0",
" 自91年起累計數 ","","","","","","",,,,,,,,,,," 自91年起累計數 ","","","","","","",,,,,,,,,,," 自91年起累計數 ","","","","","","",,,,,,,,,
" ","39894","3647414","35230","2444241","1328","56117","15482","1019889","36","1605","3713","436284","0","0","0","164878"," ","7727","71551","6944","693917","4086","708369","21","1494","1257","85162","6","91","402","46192","83","1522"," ","1499","149667","462","202733","356","221508","49","80682","355","312555","171","101510","3","57",
" Cumulation from 2002 ","","","","","","",,,,,,,,,,," Cumulation from 2002 ","","","","","","",,,,,,,,,,," Cumulation from 2002 ","","","","","","",,,,,,,,,
" 資料來源： 勞動部職業安全衛生署。 ","","","","","","","  Source： Occupational Safety and Health Administration, MOL.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 說       明： 1.職業災害勞工保護法自91年4月開始實施，本表統計資料自同年7月起編列。 ","","","","","","","  Note： 1.The scheme implemented from April 2002. This table is addition from July 2002.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 2.補助(1)至(6)採按月補助，次月起續發者不計件數；補助(7)至(10)採一次補助；補助(11)至(13)係依據本法第 ","","","","","","","  2.Subsidies 1 to Subsidies 6 shall be paid by month, and the number of case isn't counted repeatedly. Subsidies 7 to Subsidies 10","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   10條規定辦理，並依實施計畫分三期辦理撥款；補助(14)係依據本法第20條規定辦理，採一次撥補方式。 ","","","","","","","     shall be paid for once. Subsidies 11 to Subsidies 13 shall be divided three issue of payments. Subsidies 14 shall be paid by one","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 3.補助(11)職業災害預防及職業災害勞工重建補助，於94年計畫案區分為補助(12)職業災害預防補助及補助(13) ","","","","","","","     lump sum.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   職業災害勞工職業重建補助。 ","","","","","","","  3.Since the project of 2005, Subsidies 11 had been divided to Subsidies 12 and Subsidies 13.","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ","","   -224-","","","","","","","","","   -225-","","","","",""," ","","   -226-","","","","","","","","","   -227-","","","","",""," ","","   -228-","","","","","","","","   -229-","","","","",
