,,,,,,,,,,,,,,,,,,,,," ","  (%)","  wage","  wage","","","   period(%)","","  (N.T.$)","   period(%)","",,,,,,,,,,,,,
"  85年  1996 ","6.18","-0.32","13650","3.97","117581","3.74","102922","-1.05","49.19","",""," ...","45.8","","5.21","","155.55","","-0.65","",,,,,,,,,,,,,,,,,,,,,,,,
"  86年  1997 ","6.11","-0.07","14040","2.86","124170","5.6","114955","11.69","52.22","","6.16","","48.35","","5.57","","153.65","","-1.22","",,,,,,,,,,,,"22011","13.29","18155","12.07","197","","-1.25","","187.5","","-1.11","",
,,,,,,,,,,,,,,,,,,,,,"  79年  1990 ","4.13","9750",""," ...","24317","14.45","","19885","13.35","","24426","10.97","20019","10.27","196.7","","-0.15","","187.2","","-0.16","",
"  87年  1998 ","4.21","-1.9","12840","-8.55","112595","-9.32","105230","-8.46","54","","3.41","","50.89","","5.25","","153.41","","-0.16","","  80年  1991 ","3.62","11040",""," ...","26881","10.54","","22039","10.83","",,,,,,,,,,,,,
"  88年  1999 ","6.72","2.51","13819","7.62","123733","9.89","111196","5.67","57.97","","7.35","","54.29","","6.68","","148.26","","-3.36","",,,,,,,,,,,,"26938","10.28","21837","9.08","196.3","","-0.2","","187","","-0.11","",
,,,,,,,,,,,,,,,,,,,,,"  81年  1992 ","4.46","12365","51.5","","29449","9.55","","23914","8.51","","28822","6.99","23376","7.05","196.1","","-0.1","","186.9","","-0.05","",
"  89年  2000 ","6.42","-0.3","14941","8.12","151950","22.8","140732","26.56","61.86","","6.71","","57.48","","5.88","","144.75","","-2.37","","  82年  1993 ","2.95","13350","55.5","","31708","7.67","","25610","7.09","",,,,,,,,,,,,,
"  90年  2001 ","-1.26","-7.68","13448","-9.99","126612","-16.67","109588","-22.13","56.66","","-8.41","","59.17","","2.94","","149.85","","3.52","",,,,,,,,,,,,"30748","6.68","24741","5.84","196.5","","0.2","","186.3","","-0.32","",
,,,,,,,,,,,,,,,,,,,,,"  83年  1994 ","4.1","14010","58.5","","33661","6.16","","27085","5.76","","32489","5.66","25987","5.04","194.3","","-1.12","","184.6","","-0.91","",
,,,,,,,,,,,,,,,,,,,,,"  84年  1995 ","3.66","14880","62","","35389","5.13","","28407","4.88","",,,,,,,,,,,,,
"  91年  2002 ","5.57","6.83","13750","2.25","135774","7.24","115116","5.04","60.88","","7.45","","64.23","","8.55","","135.84","","-9.35","",,,,,,,,,,,,,,,,,,,,,,,,
