" ","","","",""," Governmental","","",,,,,,,,,,,,,,,,"  Specific",""," Domestic new"," taiwan by over-","","","","",
" ","  Item",""," Grand total","",""," 6 industries and","","",""," Chinaware etc.,","  New and","",""," Major investing"," ","  Item",""," Major investing",""," two years after"," Traditional"," Non-traditional","","","","","","","  Nursing","",
" ","","","","  Total"," major construc-"," 15 occupations","  Crewmen"," 68 industries"," 73 industries"," 6 industries"," expanded firms"," EPZ and SBIP"," 3 K industries"," manufacturing"," ","",""," construction"," 7 industries"," initial allocation"," manufacturing"," manufacturing","  timeframe"," Extra workers","  investment"," seas taiwanese","  Slaughtering","  Total","  workers","  Home-maids",
" ","","","",""," tion projects","","",,,,,,,," ","","","",""," of manufacturing","","","  industries","","  projects","  businesses","","","","",
"  4月底 ","   End of Apr.","","595695","365887","6535","4","10790","9","12","13","24","0","263043","312","  4月底 ","   End of Apr.","","280","1","13626","640","6","3634","64273","907","1778","0","229808","227779","2029",
"  5月底 ","   End of May","","597802","367714","6466","4","10762","9","12","13","23","0","264442","295","  5月底 ","   End of May","","266","1","13523","607","4","3366","65141","980","1800","0","230088","228076","2012",
"  6月底 ","   End of June","","602309","372296","6474","4","10696","8","12","13","23","0","268862","280","  6月底 ","   End of June","","232","1","13550","586","4","3253","65437","1005","1856","0","230013","228011","2002",
"  7月底 ","   End of July","","603109","373477","6396","4","10643","8","12","13","23","0","269106","273","  7月底 ","   End of July","","218","1","13542","564","4","3074","66551","1012","2033","0","229632","227675","1957",
"  8月底 ","   End of Aug.","","605935","374706","6479","4","10661","8","12","13","23","0","269084","260","  8月底 ","   End of Aug.","","202","1","13472","534","3","2846","68006","1011","2087","0","231229","229280","1949",
"  9月底 ","   End of Sept.","","609272","376752","6342","4","10677","8","12","13","23","0","270585","248","  9月底 ","   End of Sept.","","199","1","13402","501","3","2642","68688","1017","2169","218","232520","230576","1944",
" 10月底 ","   End of Oct.","","613641","379298","6203","4","10655","8","12","13","23","0","272448","244"," 10月底 ","   End of Oct.","","193","1","13257","489","3","2459","69784","1023","2196","283","234343","232396","1947",
" 11月底 ","   End of Nov.","","618924","383291","6244","4","10713","8","12","13","23","0","275343","231"," 11月底 ","   End of Nov.","","185","1","13192","477","3","2223","71064","1022","2233","300","235633","233696","1937",
" 12月底 ","   End of Dec.","","624768","387477","6185","4","10872","8","12","13","23","0","278221","224"," 12月底 ","   End of Dec.","","176","1","13122","443","3","2013","72583","1017","2213","344","237291","235370","1921",
" "," 男"," Male","274309","272585","6183","3","10854","6","9","11","14","0","202952","174"," "," 男"," Male","176","1","8232","252","0","829","41817","591","187","294","1724","1714","10",
" "," 女"," Female","350459","114892","2","1","18","2","3","2","9","0","75269","50"," "," 女"," Female","0","0","4890","191","3","1184","30766","426","2026","50","235567","233656","1911",
" 資料來源： ","  勞動部勞動力發展署。","","","","","",""," Source：  Workforce Development Agency, MOL.","","","","","",""," 附　　註： ","  (1)EPZ代表經濟部加工出口區，SBIP代表科學工業園區。","","","","","",""," Remark：  (1)EPZ stands for Export Processing Zones, while SBIP for Science-Based Industrial Park.","","","","","","","",
" 說　　明： ","  1.本表資料自87年1月起依據最新完成建檔資料追溯修正。","","","","","",""," Note：  1.Data series from January of 1998 have been updated, based on the data bank most recently established.","","","","","",""," ","  (2)三Ｋ行業包括骯髒、危險及辛勞行業。","","","","","","","  (2)３Ｋ industries involve dirty, dangerous and labor-consuming industries.","","","","","","","",
,,,,,,,,,,,,,,," ","  (3)製造業兩年期滿重整包括六行業十五種職業、68行業等期滿重新申請，及就服法第59條轉換雇主或期滿","","","","","","","  (3)Quota readjusted two years after initial allocaion of manufacturing involve 6 industries and 15 occupations ,and 68 industries","","","","","","","",
" ","  2.本表係依就業服務法第四十六條第一項第八至第十款規定工作之外國人。","","","","","","","  2.The foreign workers in the table include the foreign workers stipulated in accordance with Subparagraphs 8~10 of Paragraph 1","","","","","","",,,,,,,,,,,,,,,,,
,,,,,,,,"     of Article 46 of the Employment Services Act.","","","","","",""," ","      重新申請。","","","","","","","      etc,which also contain the foreign worker shift to work for a new employer or to engage in new work as referred to the","","","","","","","",
,,,,,,,,,,,,,,," ","  (4)屠宰工作係指經行政院農業委員會認定直接從事屠宰工作或與其有關之體力工作。","","","","","","","      Article 59 of Employment Service Act .","","","","","","","",
,,,,,,,,,,,,,,,,,,,,,,,"  (4)Slaughter work refers to slaughter and related physical work approved by the Council of Agriculture ,Executive Yuan.","","","","","","","",
" ","","","","   -360-","","","","","","","   -361-","","",""," ","","","","   -362-","","","","","","","   -363-","","","","",
