" 表 11-4 就業服務人數－按辦理單位及職業分 ","","","","","  Table 11-4 Number of Employment Services by Institution and Occupation","","","","",""," 表 11-4 就業服務人數－按辦理單位及職業分(續1) ","","","",""," Table 11-4 Number of Employment Services by Institution and Occupation (Cont.1)  ˉ","","","","",""," 表 11-4 就業服務人數－按辦理單位及職業分(續2完) ","","","",""," Table 11-4 Number of Employment Services by Institution and Occupation (Cont.2)  ˉ","","","","","",
" ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case"," ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case"," ","  中華民國105年","","","  單位：人次","","","   2016","",""," Unit：Person-case",
" 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及"," 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及"," 項                    目                    別 "," 總         計"," 民意代表、主管 及經理人員"," 專 業 人 員"," 助理專業人員 技 術 員 及"," 事務支援人員"," 服務及銷售"," 農、林、漁、"," 技藝有關"," 機械設備操作"," 基層技術工及",
,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",,,,,,""," 工作人員"," 牧業生產人員"," 工作人員"," 及組裝人員"," 勞力工及其他",
" ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary"," ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary"," ",""," Legislators,",""," Technicians &","  Clerical",""," Skilled agricultural,",""," Plant & machine"," Elementary",
,,,,," support workers"," Service &",""," Craft & related","","",,,,,," support workers"," Service &",""," Craft & related","","",,,,,," support workers"," Service &",""," Craft & related","","",
" ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &"," ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &"," ","  Grand total"," senior officials"," Professionals","  associate","","","  forestry &",""," operators &"," labourers &",
" Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others"," Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others"," Item ",""," & managers",""," professionals",""," sales workers"," fishery workers"," trades workers","  assemblers","  others",
" 求才人數　No. of job openings ","97966","2203","7378","16905","8392","41143","51","1964","3890","16040"," 求才人數　No. of job openings ","33964","204","1420","6911","2230","3094","462","3714","2857","13072"," 求才人數　No. of job openings ","161713","1702","17393","41915","7961","22452","1632","19735","9500","39423",
,,,,,,,,,,,,,,,,,,,,,," 求職推介　No. of job seekers employed ","97056","975","7480","12988","14072","11015","769","6255","5802","37700",
" 求職推介　No. of job seekers employed ","29646","2123","6584","5814","6192","4389","61","609","736","3138"," 求職推介　No. of job seekers employed ","6254","32","309","733","765","571","46","347","341","3110",,,,,,,,,,,,
" 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,,
" 求才僱用　No. of job openings filled ","58124","1104","3058","8921","4747","26059","28","1089","2583","10535"," 求才僱用　No. of job openings filled ","8949","68","302","1699","633","707","185","748","651","3956"," 求才僱用　No. of job openings filled ","136346","1615","13694","36792","6498","18453","1215","16630","7845","33604",
" 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,,
,,,,,,,,,,,,,,,,,,,,,," 勞動力發展署高屏澎東分署 ","","","","",,,,,,,
" 桃  園  市   Taoyuan City Employment ","","","","",,,,,,,,,,,,,,,,,," Regional Branch of WDA, Kaohsiung-Pingtung- ","","","","",,,,,,,
" 　　　       Services Office ","","","","",,,,,,," 其　　他   Others ","","","","",,,,,,," Penghu-Taitung Region ","","","","",,,,,,,
" 求職人數　No. of job seekers ","9477","80","453","1536","1414","772","24","326","552","4320"," 求職人數　No. of job seekers ","24","0","3","6","6","3","0","0","4","2",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,," 求職人數　No. of job seekers ","93168","758","6114","8041","12008","13804","1809","5901","6517","38216",
" 求才人數　No. of job openings ","48615","316","2709","15503","4164","9302","115","1225","2779","12502"," 求才人數　No. of job openings ","0","0","0","0","0","0","0","0","0","0"," 求才人數　No. of job openings ","138811","1270","9654","22428","9201","28337","2237","16172","10954","38558",
" 求職推介　No. of job seekers employed ","5636","57","354","1047","867","444","6","195","307","2359"," 求職推介　No. of job seekers employed ","2","0","0","0","1","1","0","0","0","0"," 求職推介　No. of job seekers employed ","62620","481","3937","5362","7949","9130","1287","3988","4381","26105",
,,,,,,,,,,,,,,,,,,,,,," 就業人數　by employment service ","","","","",,,,,,,
" 就業人數　by employment service ","","","","",,,,,,," 就業人數　by employment service ","","","","",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,," 求才僱用　No. of job openings filled ","95454","753","5974","14748","6624","18061","1749","11058","7585","28902",
" 求才僱用　No. of job openings filled ","16132","43","726","5057","1855","2689","15","420","810","4517"," 求才僱用　No. of job openings filled ","0","0","0","0","0","0","0","0","0","0"," 人數　　　by employment service ","","","","",,,,,,,
" 人數　　　by employment service ","","","","",,,,,,," 人數　　　by employment service ","","","","",,,,,,,,,,,,,,,,,,
" 資料來源： 勞動部勞動力發展署。 ","","","",""," Source：  Workforce Development Agency, MOL.","","","","",""," 說　　明： 3.97年8月起，納入原住民族委員會就業服務資料；105年10月起，納入國軍退除役官兵輔導委員會資料。 ","","","",""," Note：  3.Beginning in August 2008, the data series include employment service in the Council of Indigenous Peoples.","","","","","",,,,,,,,,,,,
" 說　　明： 1.職業別「基層技術工及勞力工及其他」之其他係指未點選職業者。 ","","","",""," Note：  1."Elementary labourers & others" includes unspecified responses.","","","","",""," 4.其他係為原住民族委員會及國軍退除役官兵輔導委員會資料。 ","","","","","     Beginning in October 2016,the data series include employment service in Veterans Affairs Council.","","","","","",,,,,,,,,,,,
,,,,,,,,,,,,,,,,"  4.Othrers data include employment service in The Council of Indigenous Peoples,Executive Yuan and Veterans Affairs Council.","","","","","",,,,,,,,,,,,
" 2.102年起依據「中華民國職業標準分類（第6次修訂）」編製。ˉ ","","","","","  2.Data series were classified from 2013 refer to Standard Occupational Classification System of R.O.C, Rev.6.","","","","","",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,," ","   -320-","","","","","","   -321-","","","",
" ","   -316-","","","","","","   -317-","","",""," ","   -318-","","","","","","   -319-","","","",
